Abduction and related offences ,"Acts that unlawfully deprive another person of their freedom of movement, that are against that person's will or against the will of any parent, guardian or other person having lawful custody or care of that person. Includes:, Abduction, False imprisonment, Slavery and sexual servitude offences"
Affected family member ,"An 'affected family member' is the individual who is deemed to be affected by events occurring during the family incident. Where an affected family member has been in a family incident with more than one other party, they will be counted for each involvement."
Age,"The age of the alleged offender, victim, affected family member and other party represents the age the individual was on the date their record was created in LEAP (Law Enforcement Assistance Program)."
Alleged offender incident,"An alleged offender incident is an incident involving one or more offences to which an individual, business or organisation has been linked as an alleged offender. "
 Alleged offender incident investigation status ,The investigation status is the status indicating how an alleged offender has been dealt with by Victoria Police at the time the data was extracted from LEAP. The investigation status of an alleged offender incident is derived from the principal offence. This variable is captured at a point in time and is subject to change.
 Alleged offender incidents related to a family incident,Alleged offender incidents refer to those incidents that are linked to offences recorded at the time of a family incident.
 Alleged offender rate,"Alleged offender rates per 100,000 population are calculated using the alleged offender incident count for the reference period and the most recent Estimated Resident Population (ERP).  "
Arson,Intentionally and without lawful excuse destroying or damaging property by fire and intentionally or recklessly causing a bushfire.
Assault and related offences,"The direct (and immediate/confrontational) infliction of force, injury or violence upon a person or a group of people."
Blackmail and extortion,"The unlawful demanding of money, property, or any other benefit from another person, accompanied by the threat of coercive measures if the demand is not met. Coercive measures may include divulging information about a person, or the use and/or threatened use of force or violence if the demand is not met."
Breaches of orders,"An act or omission breaching the conditions of a justice order. This includes breaches of family violence orders, intervention orders, bail conditions and other orders."
Bribery,"The offering, giving or accepting of a bribe involving a government official whilst exercising his or her official authority."
Burglary/Break and enter,"The unlawful entry of a building or structure with the intent to commit an offence, where the entry is either forced or unforced."
Charge status,The charge status indicates when a charge has been laid by Victoria Police at the time these data were extracted from the LEAP database. 
Criminal incident,"A criminal event that may include multiple offences, alleged offenders and/or victims, is recorded on the LEAP database on a single date and as occurring at one location."
Cultivate or manufacture drugs,Cultivating or manufacturing of drugs or other substances prohibited under legislation.
Dangerous or negligent acts endangering people,"Dangerous or negligent acts which, though not intended to cause harm, actually or potentially result in injury to oneself or another person."
Deception,Offences involving a dishonest act or omission carried out with the purpose of deceiving to obtain a benefit or avoid a disbenefit.
Disorderly and offensive conduct,"Offences involving personal conduct that is disorderly, indicative of criminal intent or is deemed offensive to members of the public."
Drug dealing and trafficking,Dealing and trafficking of drugs or other substances prohibited under legislation.
Drug use and possession,Use and possession of drugs or other substances prohibited under legislation.
Family incident,"An incident attended by Victoria Police where a Risk Assessment and Risk Management Report (also known as an L17 form) was completed. The report is completed when family violence incidents, interfamilial-related sexual offences, and child abuse are reported to police."
Family incident flag,"A family incident flag is attached to any offence arising from an incident where Victoria Police completed a Risk Assessment and Risk Management Report (L17 form). The family incident flag allows the identification of offences, offender incidents and victim reports that are related to a family incident."
Family incident rate,"Family incident rates per 100,000 population are calculated using the number of family incidents for the period and the most recent Estimated Resident Population (ERP). "
Family violence safety notice ,A family violence safety notice (FVSN) is a notice that can be issued immediately by Victoria police to protect an affected family member before an intervention order application is heard in court.
Homicide and related offences,"Unlawfully kill, attempt or conspire to unlawfully kill, or kill another person as a result of culpable, reckless or negligent act."
Intent to summons,"Intent to summons represents a pending investigation status on an offence or offender incident where a final legal action has not yet taken place. It links offenders who may be charged with an offence in the future, however further investigation and approval or evidence is required before these are completed by Victoria Police.  Therefore the number of offences and offender incidents with an ""intent to summons"" investigation status may change over time."
Investigation status,Investigation status indicates how the offences has been dealt with by Victoria Police at the time data was extracted from the LEAP database. This status represents information at a point in time and is subject to change.
Justice institution or immigration facility,"The category 'justice institution or immigration facility' includes, prisons, youth justice facilities and immigration detention centres. Further information regarding exclusions is available in the explanatory notes."
Justice procedures,An act or omission that is deemed to be prejudicial to the effective administration of justice procedures.
L17 form,"An L17 form refers to the Victoria Police Risk Assessment and Management Report that Victoria Police are required to complete after they have attended a family incident. The report is completed when family violence incidents, interfamilial-related sexual offences, and child abuse are reported to police."
Local Government Area,A Local Government Area (LGA) is a geographical area under the responsibility of an incorporated local government council. See the Geographic classification for more information.
Location type,"The location or place where the offence took place as recorded by Victoria Police. There are three main location types; Residential, Community and Other. These types are further broken down into subdivisions, which show an intermediate level of information, and further into groups, which show a finer level of detail. For more information please see the Location type classification."
Miscellaneous offences,All other offences not elsewhere classified.
Offence,Any criminal act or omission by a person or organisation for which a penalty could be imposed by the Victorian legal system.
Offence investigation status,"The current status on the progress of the apprehension and/or processing of an alleged offender for the given offence as at the date the data is extracted. If no status is known at the time data is taken from LEAP, the status of investigation will be presented as unsolved."
Offence rate,"Offence rates per 100,000 population are calculated using the offence count for the reference period and the most recent Estimated Resident Population (ERP). "
Offences related to a family incident,Offences relating to a family incident refer to those offences that have been linked to a family incident by Victoria Police.
Other drug offences,"Drug offences not elsewhere classified as Drug dealing and trafficking, Cultivate or manufacture drugs or Drug use and possession."
Other government regulation offences,Offences regulated by government not including driving or transport regulation offences.
Other party,"The other individual involved in a family incident is referred to as the 'other party'. The other party could be a current partner, former partner or a family member. Where the other party is involved with multiple affected family members, they will be counted for each involvement."
Police Region,A Police Region is a geographical area defined by Victoria Police for operational purposes. There are 4 regions across Victoria each contains a number of Police Service Areas. For more information please see the Geographic classification.
Police Service Area,"A Police Service Area (PSA) is a geographical area defined by Victoria Police for operational purposes. There are 54 PSAs across Victoria and they consist of 1 or more Local Government Area (LGA). The CSA generally produces statistics at the more detailed LGA level however, data can be aggregated to PSAs from LGAs. For more information please see the Geographic classification."
Principal offence,Principal offence is the offence type determined by the CSA offence index as the most serious offence type committed within an incident. For more information on the offence index please see the Explanatory notes.
Property damage,"The wilful and unlawful destruction, damage or defacement of public or private property."
Public nuisance offences,Acts involving the contravention of public order and harmony.
Public security offences,An act or omission that is deemed to be prejudicial to the effective carrying out of government operations specifically concerned with maintaining government security.
Regulatory driving offences,"Offences relating to vehicles and most forms of traffic, including offences pertaining to the licensing, registration, roadworthiness or use of vehicles and bicycle offences."
Relationship of Victim to Offender,The relationship of victim to offender refers to the relationship the victim reports between themselves and their alleged offender at the time of the offence.
Repeat offending,"Repeat offending is defined as those people who have been linked to more than one criminal incident within a 12-month financial year reference period. People who have been alleged offenders across financial year reference periods will be counted in each of the reference periods, therefore the repeat offending counts in this publication do not show repeat offending over a longer period of time."
Repeat victimisation,"Repeat victimisation is defined as those people who had more than one victim report within a 12 month financial year reference period. People who have been victimised across more than one financial year reference period will be counted in each of the reference periods that they reported being a victim. Consequently, the repeat victimisation counts in this publication do not show repeat victimisation over a longer period of time."
Robbery,"The unlawful taking of property, with intent to permanently deprive the owner of the property, from the immediate possession, control, custody or care of a person, accompanied by the use, and/or threatened use, of immediate force or violence."
Sexual offences,"Acts, or intent of acts, of a sexual nature against another person, which are non-consensual or where consent is proscribed (i.e. the person is legally deemed incapable of giving consent because of youth or temporary/permanent incapacity)."
"Stalking, harassment and threatening behaviour","Acts intended to cause physical or mental harm, or arouse apprehension or fear through a repeated course of unreasonable conduct. This includes actions that are intended to harass, threaten or invade the privacy of an individual."
